IMG Number,STOP_TIME,MINIMUM_LATITUDE,MAXIMUM_LATITUDE,WESTERNMOST_LONGITUDE,EASTERNMOST_LONGITUDE,HORIZONTAL_PIXEL_SCALE,VERTICAL_PIXEL_SCALE
IMG_RDR_2017033T005945_V02,2017-02-0200:59:42.809,-20.6326,13.654,0.00075233,359.9994,204540.0234,204540.0234
IMG_RDR_2017033T010015_V02,2017-02-0201:00:13.281,-20.2138,13.8558,6.5416-05,359.9941,204431.3576,204431.3576
IMG_RDR_2017033T010046_V02,2017-02-0201:00:43.753,-19.8087,14.0553,0.0017729,359.9989,204322.6641,204322.6641
IMG_RDR_2017033T010116_V02,2017-02-0201:01:14.225,-19.4098,14.2549,0.00085911,359.9964,204213.943,204213.943
IMG_RDR_2017033T010147_V02,2017-02-0201:01:44.697,-19.0166,14.4539,0.0016667,359.9995,204105.1941,204105.1941
IMG_RDR_2017033T010217_V02,2017-02-0201:02:15.169,-18.5718,14.6857,0.00056684,359.9997,203996.4176,203996.4176
IMG_RDR_2017033T010247_V02,2017-02-0201:02:45.640,-18.4012,14.7678,0.0011762,359.998,203887.6168,203887.6168
IMG_RDR_2017033T022837_V02,2017-02-0202:28:35.107,-25.577,8.8922,242.9274,323.8088,185080.6466,185080.6466
IMG_RDR_2017033T022907_V02,2017-02-0202:29:05.579,-24.9373,9.1417,242.9968,323.2276,184966.7337,184966.7337
IMG_RDR_2017033T022938_V02,2017-02-0202:29:36.051,-24.3575,9.375,243.0203,322.6722,184852.7881,184852.7881
IMG_RDR_2017033T023008_V02,2017-02-0202:30:06.521,-24.1342,9.4586,242.8555,322.2538,184738.8137,184738.8137
IMG_RDR_2017033T023039_V02,2017-02-0202:30:36.993,-23.6157,9.675,242.8338,321.7271,184624.8028,184624.8028
IMG_RDR_2017033T023109_V02,2017-02-0202:31:07.465,-23.1118,9.8897,242.7987,321.2124,184510.7593,184510.7593
IMG_RDR_2017033T023140_V02,2017-02-0202:31:37.937,-22.6263,10.103,242.7422,320.7009,184396.6831,184396.6831
IMG_RDR_2017033T023210_V02,2017-02-0202:32:08.409,-22.1458,10.3184,242.6784,320.1972,184282.5741,184282.5741
IMG_RDR_2017033T023241_V02,2017-02-0202:32:38.881,-21.6775,10.5321,242.6039,319.7032,184168.4323,184168.4323
IMG_RDR_2017033T023311_V02,2017-02-0202:33:09.352,-21.4842,10.6138,242.4073,319.3042,184054.2614,184054.2614
IMG_RDR_2017033T023342_V02,2017-02-0202:33:39.825,-20.7669,10.9599,242.4262,318.7346,183940.0503,183940.0503
IMG_RDR_2017033T023412_V02,2017-02-0202:34:10.296,-20.5852,11.0395,242.2187,318.3407,183825.8137,183825.8137
IMG_RDR_2017033T023443_V02,2017-02-0202:34:40.768,-20.1425,11.2533,242.1193,317.8733,183711.5404,183711.5404
IMG_RDR_2017033T023513_V02,2017-02-0202:35:11.240,-19.7085,11.4683,242.0055,317.4038,183597.2342,183597.2342
IMG_RDR_2017033T023544_V02,2017-02-0202:35:41.712,-19.2795,11.6838,241.8868,316.9412,183482.8951,183482.8951
IMG_RDR_2017033T023614_V02,2017-02-0202:36:12.184,-18.858,11.8974,241.7651,316.4892,183368.5229,183368.5229
IMG_RDR_2017033T023644_V02,2017-02-0202:36:42.656,-18.4468,12.1109,241.6276,316.0335,183254.1176,183254.1176
IMG_RDR_2017033T023715_V02,2017-02-0202:37:13.128,-18.0444,12.3219,241.4858,315.5864,183139.6793,183139.6793
IMG_RDR_2017033T023745_V02,2017-02-0202:37:43.599,-17.8759,12.404,241.2601,315.2037,183025.2117,183025.2117
IMG_RDR_2017033T023816_V02,2017-02-0202:38:14.072,-17.2468,12.7503,241.1844,314.6969,182910.7033,182910.7033
IMG_RDR_2017033T023846_V02,2017-02-0202:38:44.543,-17.083,12.8312,240.9564,314.3211,182796.1693,182796.1693
IMG_RDR_2017033T023917_V02,2017-02-0202:39:15.015,-16.6954,13.0436,240.7978,313.8875,182681.5983,182681.5983
IMG_RDR_2017033T023947_V02,2017-02-0202:39:45.487,-16.3092,13.2578,240.6354,313.4568,182566.9941,182566.9941
IMG_RDR_2017033T024018_V02,2017-02-0202:40:15.959,-15.9336,13.4689,240.465,313.0291,182452.3565,182452.3565
IMG_RDR_2017033T024048_V02,2017-02-0202:40:46.430,-15.7729,13.5512,240.2337,312.6603,182337.6894,182337.6894
IMG_RDR_2017033T024119_V02,2017-02-0202:41:16.903,-15.1952,13.8892,240.1182,312.191,182222.9815,182222.9815
IMG_RDR_2017033T024149_V02,2017-02-0202:41:47.374,-15.0325,13.9745,239.8865,311.8257,182108.2476,182108.2476
IMG_RDR_2017033T024220_V02,2017-02-0202:42:17.846,-14.6664,14.1879,239.7042,311.4089,181993.4766,181993.4766
IMG_RDR_2017033T024250_V02,2017-02-0202:42:48.318,-14.3147,14.3961,239.5102,310.9914,181878.6722,181878.6722
IMG_RDR_2017033T035903_V02,2017-02-0203:59:00.112,,,,,,
IMG_RDR_2017033T035933_V02,2017-02-0203:59:30.593,,,,,,
IMG_RDR_2017033T040004_V02,2017-02-0204:00:01.076,,,,,,
IMG_RDR_2017033T040034_V02,2017-02-0204:00:31.557,,,,,,
IMG_RDR_2017033T040105_V02,2017-02-0204:01:02.040,,,,,,
IMG_RDR_2017033T040135_V02,2017-02-0204:01:32.521,,,,,,
IMG_RDR_2017033T040206_V02,2017-02-0204:02:03.004,,,,,,
IMG_RDR_2017033T040236_V02,2017-02-0204:02:33.485,,,,,,
IMG_RDR_2017033T040307_V02,2017-02-0204:03:03.967,,,,,,
IMG_RDR_2017033T040337_V02,2017-02-0204:03:34.448,,,,,,
IMG_RDR_2017033T040408_V02,2017-02-0204:04:04.930,,,,,,
IMG_RDR_2017033T040438_V02,2017-02-0204:04:35.412,,,,,,
IMG_RDR_2017033T040509_V02,2017-02-0204:05:05.894,,,,,,
IMG_RDR_2017033T040539_V02,2017-02-0204:05:36.376,,,,,,
IMG_RDR_2017033T040610_V02,2017-02-0204:06:06.858,,,,,,
IMG_RDR_2017033T040640_V02,2017-02-0204:06:37.340,,,,,,
IMG_RDR_2017033T040710_V02,2017-02-0204:07:07.822,,,,,,
IMG_RDR_2017033T040741_V02,2017-02-0204:07:38.304,,,,,,
IMG_RDR_2017033T040811_V02,2017-02-0204:08:08.786,,,,,,
IMG_RDR_2017033T040842_V02,2017-02-0204:08:39.269,,,,,,
IMG_RDR_2017033T040912_V02,2017-02-0204:09:09.750,,,,,,
IMG_RDR_2017033T040943_V02,2017-02-0204:09:40.232,,,,,,
IMG_RDR_2017033T041013_V02,2017-02-0204:10:10.714,,,,,,
IMG_RDR_2017033T041044_V02,2017-02-0204:10:41.196,,,,,,
IMG_RDR_2017033T041114_V02,2017-02-0204:11:11.678,,,,,,
IMG_RDR_2017033T041145_V02,2017-02-0204:11:42.160,,,,,,
IMG_RDR_2017033T041215_V02,2017-02-0204:12:12.642,,,,,,
IMG_RDR_2017033T041246_V02,2017-02-0204:12:43.125,,,,,,
IMG_RDR_2017033T041316_V02,2017-02-0204:13:13.606,,,,,,
IMG_RDR_2017033T041548_V02,2017-02-0204:15:45.634,,,,,,
IMG_RDR_2017033T041619_V02,2017-02-0204:16:16.118,,,,,,
IMG_RDR_2017033T041649_V02,2017-02-0204:16:46.602,,,,,,
IMG_RDR_2017033T041720_V02,2017-02-0204:17:17.085,,,,,,
IMG_RDR_2017033T041750_V02,2017-02-0204:17:47.570,,,,,,
IMG_RDR_2017033T041821_V02,2017-02-0204:18:18.054,,,,,,
IMG_RDR_2017033T041851_V02,2017-02-0204:18:48.538,,,,,,
IMG_RDR_2017033T041922_V02,2017-02-0204:19:19.022,,,,,,
IMG_RDR_2017033T041952_V02,2017-02-0204:19:49.506,,,,,,
IMG_RDR_2017033T042023_V02,2017-02-0204:20:19.990,,,,,,
IMG_RDR_2017033T042053_V02,2017-02-0204:20:50.474,,,,,,
IMG_RDR_2017033T042124_V02,2017-02-0204:21:20.959,,,,,,
IMG_RDR_2017033T042154_V02,2017-02-0204:21:51.442,,,,,,
IMG_RDR_2017033T042225_V02,2017-02-0204:22:21.927,,,,,,
IMG_RDR_2017033T042255_V02,2017-02-0204:22:52.410,,,,,,
IMG_RDR_2017033T042326_V02,2017-02-0204:23:22.895,,,,,,
IMG_RDR_2017033T042356_V02,2017-02-0204:23:53.378,,,,,,
IMG_RDR_2017033T042427_V02,2017-02-0204:24:23.863,,,,,,
IMG_RDR_2017033T042457_V02,2017-02-0204:24:54.347,,,,,,
IMG_RDR_2017033T042527_V02,2017-02-0204:25:24.831,,,,,,
IMG_RDR_2017033T042558_V02,2017-02-0204:25:55.315,,,,,,
IMG_RDR_2017033T042628_V02,2017-02-0204:26:25.799,,,,,,
IMG_RDR_2017033T042659_V02,2017-02-0204:26:56.283,,,,,,
IMG_RDR_2017033T042729_V02,2017-02-0204:27:26.767,,,,,,
IMG_RDR_2017033T042800_V02,2017-02-0204:27:57.251,,,,,,
IMG_RDR_2017033T043102_V02,2017-02-0204:30:59.743,,,,,,
IMG_RDR_2017033T043203_V02,2017-02-0204:32:00.712,,,,,,
IMG_RDR_2017033T043234_V02,2017-02-0204:32:31.195,,,,,,
IMG_RDR_2017033T043304_V02,2017-02-0204:33:01.680,,,,,,
IMG_RDR_2017033T043335_V02,2017-02-0204:33:32.164,,,,,,
IMG_RDR_2017033T043405_V02,2017-02-0204:34:02.649,,,,,,
IMG_RDR_2017033T043436_V02,2017-02-0204:34:33.132,,,,,,
IMG_RDR_2017033T043506_V02,2017-02-0204:35:03.617,,,,,,
IMG_RDR_2017033T043537_V02,2017-02-0204:35:34.101,,,,,,
IMG_RDR_2017033T043607_V02,2017-02-0204:36:04.585,,,,,,
IMG_RDR_2017033T043638_V02,2017-02-0204:36:35.069,,,,,,
IMG_RDR_2017033T043708_V02,2017-02-0204:37:05.554,,,,,,
IMG_RDR_2017033T043739_V02,2017-02-0204:37:36.039,,,,,,
IMG_RDR_2017033T043809_V02,2017-02-0204:38:06.522,,,,,,
IMG_RDR_2017033T043840_V02,2017-02-0204:38:37.007,,,,,,
IMG_RDR_2017033T043910_V02,2017-02-0204:39:07.490,,,,,,
IMG_RDR_2017033T043941_V02,2017-02-0204:39:37.975,,,,,,
IMG_RDR_2017033T044011_V02,2017-02-0204:40:08.459,,,,,,
IMG_RDR_2017033T044042_V02,2017-02-0204:40:38.944,,,,,,
IMG_RDR_2017033T044112_V02,2017-02-0204:41:09.427,,,,,,
IMG_RDR_2017033T044143_V02,2017-02-0204:41:39.912,,,,,,
IMG_RDR_2017033T044213_V02,2017-02-0204:42:10.396,,,,,,
IMG_RDR_2017033T044244_V02,2017-02-0204:42:40.881,,,,,,
IMG_RDR_2017033T044314_V02,2017-02-0204:43:11.364,,,,,,
IMG_RDR_2017033T044546_V02,2017-02-0204:45:43.380,,,,,,
IMG_RDR_2017033T044617_V02,2017-02-0204:46:13.865,,,,,,
IMG_RDR_2017033T044647_V02,2017-02-0204:46:44.350,,,,,,
IMG_RDR_2017033T044717_V02,2017-02-0204:47:14.835,,,,,,
IMG_RDR_2017033T044748_V02,2017-02-0204:47:45.320,,,,,,
IMG_RDR_2017033T044818_V02,2017-02-0204:48:15.805,,,,,,
IMG_RDR_2017033T044849_V02,2017-02-0204:48:46.289,,,,,,
IMG_RDR_2017033T044919_V02,2017-02-0204:49:16.775,,,,,,
IMG_RDR_2017033T044950_V02,2017-02-0204:49:47.259,,,,,,
IMG_RDR_2017033T045020_V02,2017-02-0204:50:17.744,,,,,,
IMG_RDR_2017033T045051_V02,2017-02-0204:50:48.228,,,,,,
IMG_RDR_2017033T045121_V02,2017-02-0204:51:18.713,,,,,,
IMG_RDR_2017033T045152_V02,2017-02-0204:51:49.198,,,,,,
IMG_RDR_2017033T045222_V02,2017-02-0204:52:19.683,,,,,,
IMG_RDR_2017033T045253_V02,2017-02-0204:52:50.167,,,,,,
IMG_RDR_2017033T045323_V02,2017-02-0204:53:20.652,,,,,,
IMG_RDR_2017033T045354_V02,2017-02-0204:53:51.137,,,,,,
IMG_RDR_2017033T045424_V02,2017-02-0204:54:21.622,,,,,,
IMG_RDR_2017033T045455_V02,2017-02-0204:54:52.106,,,,,,
IMG_RDR_2017033T045525_V02,2017-02-0204:55:22.591,,,,,,
IMG_RDR_2017033T045556_V02,2017-02-0204:55:53.075,,,,,,
IMG_RDR_2017033T045626_V02,2017-02-0204:56:23.561,,,,,,
IMG_RDR_2017033T045657_V02,2017-02-0204:56:54.045,,,,,,
IMG_RDR_2017033T045727_V02,2017-02-0204:57:24.529,,,,,,
IMG_RDR_2017033T045758_V02,2017-02-0204:57:55.014,,,,,,
IMG_RDR_2017033T050100_V02,2017-02-0205:00:57.486,,,,,,
IMG_RDR_2017033T050131_V02,2017-02-0205:01:27.971,,,,,,
IMG_RDR_2017033T050201_V02,2017-02-0205:01:58.456,,,,,,
IMG_RDR_2017033T050232_V02,2017-02-0205:02:28.941,,,,,,
IMG_RDR_2017033T050302_V02,2017-02-0205:02:59.426,,,,,,
